,Corner1,Corner2,Corner3,Corner4,Corner5,Corner6,Corner7,Corner8,Corner9,Corner10,Corner11,Corner12,Corner13,Corner14,slack
path442,4.961,6.272,5.413,4.971,5.169,2.479,3.852,3.09,5.999,6.66,5.449,4.007,3.622,3.619,32.781
path443,3.013,2.634,5.117,6.792,5.569,5.776,3.942,2.693,2.83,4.461,7.523,6.65,7.321,3.096,33.708
path444,4.804,6.059,2.419,4.823,6.846,2.455,6.58,3.023,3.268,4.995,4.033,3.759,3.372,7.657,32.047
path445,5.472,5.491,5.64,3.999,6.223,6.288,3.469,3.678,6.044,6.401,4.06,3.459,7.689,7.441,37.677
path446,4.817,3.023,6.285,6.684,6.491,5.176,3.854,5.028,3.893,5.624,4.326,3.015,6.422,5.527,35.083
path447,4.479,2.575,4.103,3.959,3.605,4.858,2.649,3.004,5.823,4.574,3.09,3.556,4.038,6.367,28.341
path448,6.549,6.582,4.437,2.948,2.904,4.011,3.775,5.056,5.715,6.994,3.299,3.009,5.911,6.849,34.019
path449,6.286,5.25,2.622,4.142,4.975,2.981,3.406,6.273,4.423,5.7,4.685,3.372,7.359,3.276,32.374
path450,6.417,3.496,5.699,5.379,6.559,6.837,4.851,2.696,5.981,3.635,6.219,5.486,4.615,6.233,37.051
path451,6.385,2.666,5.736,5.061,5.916,6.769,5.367,4.91,4.826,5.731,5.748,5.852,4.53,8.053,38.776
path452,5.717,5.237,4.069,4.607,5.323,5.207,4.311,3.031,7.369,6.616,5.609,3.906,4.116,7.078,36.099
path453,6.651,4.279,3.759,5.33,6.53,3.492,4.653,2.827,2.831,5.659,6.319,6.3,4.863,6.82,35.156
path454,4.383,5.995,6.586,3.218,2.487,3.675,6.263,3.524,6.746,6.184,4.277,7.015,4.18,7.046,35.789
path455,3.251,3.653,2.486,6.643,4.013,6.037,4.889,3.716,5.822,4.37,4.444,3.921,3.441,4.777,30.732
path456,5.208,5.134,3.246,3.358,5.089,4.01,3.217,5.448,7.662,3.209,4.579,3.685,7.295,7.484,34.312
path457,5.62,5.413,5.214,2.73,5.994,4.814,5.325,2.381,5.206,4.073,5.5,5.249,5.972,4.361,33.926
path458,3.315,3.051,5.763,5.769,5.641,6.097,3.613,4.068,5.287,3.065,4.29,6.827,6.297,6.761,34.922
path459,4.67,3.781,4.517,5.897,4.694,6.973,5.217,2.452,7.299,6.184,3.019,4.388,7.601,7.238,36.966
path460,2.954,3.171,2.441,3.498,6.506,6.093,6.656,2.626,4.964,7.4,6.664,4.586,7.523,5.558,35.319
path461,3.826,3.444,6.057,6.62,6.736,6.209,5.022,5.23,7.401,2.995,7.179,4.979,7.41,5.36,39.235
path462,3.682,2.716,2.949,6.695,4.293,7.314,5.378,5.631,5.333,5.858,5.326,5.86,3.856,5.805,35.348
path463,4.872,5.311,2.978,4.74,2.658,6.482,4.553,2.775,3.128,5.52,5.586,4.079,6.59,4.257,31.765
path464,5.955,5.09,4.575,2.34,4.284,3.155,6.631,3.917,3.737,2.912,6.177,5.927,5.467,5.051,32.61
path465,4.554,6.587,4.047,3.667,2.534,6.713,3.75,4.787,3.204,5.132,4.17,5.845,7.254,7.292,34.769
path466,4.581,2.713,6.341,4.276,2.819,7.241,3.277,4.875,4.938,3.609,3.677,5.747,5.188,7.384,33.333
path467,5.993,6.169,4.815,3.689,4.366,2.896,4.73,5.637,5.04,4.491,4.151,7.714,3.398,5.644,34.367
path468,4.739,3.535,6.068,5.82,4.632,5.706,2.875,7.11,7.501,7.521,6.734,6.805,4.734,3.74,38.761
path469,3.364,4.95,3.379,3.985,3.65,5.777,5.68,5.792,6.589,5.922,5.247,3.338,3.812,7.327,34.406
path470,2.39,4.223,3.637,5.221,5.341,6.187,2.626,6.01,4.175,4.628,7.198,6.107,5.421,4.284,33.724
path471,2.996,4.988,5.017,3.485,5.18,3.56,5.977,6.851,7.217,7.226,3.287,7.573,7.311,3.869,37.268
path472,4.736,2.81,6.151,3.111,4.288,4.559,4.844,5.767,5.758,5.207,5.025,4.77,5.632,7.089,34.874
path473,5.316,2.936,3.906,5.316,4.388,4.217,5.858,3.121,3.954,6.76,5.894,6.549,5.794,5.513,34.762
path474,6.389,2.936,3.078,6.787,5.749,4.158,4.016,6.402,5.727,5.366,3.901,7.626,6.844,4.806,36.892
path475,2.389,2.684,5.746,5.444,2.621,5.28,4.818,6.196,4.322,3.506,4.896,3.212,5.233,3.4,29.873
path476,2.792,5.853,3.974,2.739,3.49,5.915,5.424,2.824,6.197,6.718,6.31,4.687,3.852,4.145,32.461
path477,4.456,4.782,4.493,5.933,3.555,5.629,5.829,3.133,4.299,5.946,4.783,4.328,7.098,3.018,33.642
path478,4.792,4.812,5.387,6.079,2.534,3.823,2.731,6.608,2.895,2.746,7.355,6.554,3.995,6.445,33.378
path479,2.837,4.21,5.611,5.242,4.916,5.692,5.874,4.162,4.767,3.102,5.745,4.517,4.923,5.014,33.306
path480,3.753,2.834,2.807,5.372,5.301,5.741,3.449,5.194,2.794,4.661,5.09,4.863,4.893,4.608,30.68
path481,2.973,3.836,5.535,6.027,5.118,6.739,4.793,3.698,6.252,4.363,5.943,6.98,5.415,3.198,35.435
path482,3.771,4.3,3.36,5.606,6.373,4.358,5.935,5.999,7.512,6.805,5.291,3.042,7.542,3.207,36.55
path483,2.73,3.395,5.543,5.758,2.71,5.852,2.812,6.139,5.684,3.119,3.54,5.942,6.944,7.038,33.604
path484,5.436,2.892,2.903,2.768,4.878,6.642,6.116,3.036,3.349,5.729,7.414,6.896,5.624,7.218,35.451
path485,3.05,2.858,4.547,3.911,5.996,3.746,5.298,3.878,6.2,3.481,6.524,6.718,4.072,6.647,33.463
path486,6.516,4.663,4.903,6.481,4.722,2.709,5.421,6.655,4.426,4.544,6.082,5.677,7.379,8.024,39.1
path487,5.706,6.062,2.926,6.291,2.842,3.3,4.127,3.608,3,5.242,6.661,4.046,3.457,5.696,31.481
path488,5.649,3.556,2.567,5.625,4.845,2.858,5.977,4.751,3.386,6.18,6.933,5.428,4.029,5.818,33.8
path489,3.41,4.013,5.206,4.729,6.312,4.77,4.757,2.856,5.91,3.97,7.706,3.72,6.625,3.975,33.979
path490,3.941,4.713,2.384,3.167,5.513,5.195,3.333,3.038,3.029,4.991,5.435,5.431,3.781,6.007,29.98
path491,3.212,5.464,2.829,6.265,4.485,5.192,3.14,4.783,7.581,5.5,7.803,6.055,3.954,6.512,36.389
path492,6.346,4.048,4.01,5.037,5.808,3.106,2.364,2.393,7.003,3.38,3.918,5.242,6.703,4.317,31.838
path493,3.502,2.327,6.575,5.954,3.195,3.932,5.629,7.142,6.09,2.761,3.92,5.707,6.271,5.067,34.035
path494,3.357,3.818,6.323,6.153,5.012,4.928,6.519,3.379,7.353,3.576,4.141,3.421,7.983,7.76,36.861
path495,4.549,4.802,4.162,3.08,6.038,6.444,4.213,6.174,3.703,3.238,3.376,3.565,4.24,5.724,31.654
path496,3.246,2.677,2.393,5.723,3.776,5.362,2.499,5.288,2.737,3.788,3.598,6.028,5.004,4.741,28.429
path497,2.489,4.925,2.658,5.345,6.394,6.257,3.449,6.854,3.903,3.069,7.022,4.788,7.62,4.771,34.772
path498,5.373,3.924,4.173,5.913,3.564,2.872,5.109,3.095,4.668,4.994,7.835,3.347,5.055,6.63,33.276
path499,3.608,3.182,3.741,3.346,5.093,6.984,4.317,5.047,7.413,3.31,7.157,7.269,7.631,4.976,36.537
path500,3.016,5.25,3.701,4.046,2.614,5.312,3.79,4.579,5.938,6.193,3.046,4.793,5.173,6.967,32.209
path501,2.972,2.927,5.305,3.599,5.813,4.714,2.934,2.56,3.069,3.47,4.476,7.236,3.399,5.359,28.917
path502,6.451,2.496,3.859,2.364,4.096,4.416,5.999,3.514,5.02,3.438,4.861,5.42,6.729,3.852,31.257
path503,4.222,4.157,2.986,5.851,3.147,2.494,3.905,6.6,5.356,7.139,4.297,6.427,3.478,7.953,34.006
path504,5.082,6.32,4.741,3.504,6.078,3.077,6.807,2.755,6.598,4.057,4.238,5.22,4.68,3.359,33.258
path505,3.018,5.917,5.666,4.092,2.545,6.045,5.158,6.898,5.223,6.851,5.436,4.274,4.504,4.35,34.989
path506,3.576,4.98,4.962,4.409,5.327,4.631,6.674,6.45,5.998,7.541,3.05,5.788,7.123,8.099,39.304
path507,2.54,5.549,3.937,4.916,3.925,3.483,4.692,5.505,3.676,6.181,6.429,7.375,3.181,5.412,33.4
path508,6.322,5.886,3.503,4.9,2.336,3.452,3.754,4.547,5.294,6.333,4.874,6.776,6.057,6.261,35.147
path509,5.719,3.35,6.02,6.59,3.542,4.283,4.76,2.767,6.652,2.757,5.128,3.345,7.492,7.507,34.956
path510,3.142,5.781,2.786,3.085,3.746,4.721,6.331,3.829,4.625,5.697,3.05,6.374,4.483,7.505,32.577
path511,4.015,6.706,4.685,6.292,5.586,4.207,4.322,6.41,3.433,3.977,5.241,4.505,4.371,7.016,35.383
path512,4.393,2.95,5.508,5.095,3.904,4.554,2.308,4.47,5.068,5.453,7.726,5.55,3.871,7.954,34.402
path513,6.692,4.157,4.441,5.574,4.881,4.612,4.758,6.257,4.626,6.931,7.492,7.427,6.503,4.751,39.551
path514,6.325,5.844,2.364,5.356,2.483,6.172,2.78,4.853,7.282,3.276,6.989,4.166,6.792,8.004,36.343
path515,5.435,4.392,2.906,4.678,4.098,4.528,4.296,5.305,7.142,3.415,7.586,5.949,6.644,4.193,35.283
path516,6.661,5.879,3.919,4.495,3.224,6.454,2.982,5.681,6.855,5.446,5.686,3.229,8.038,6.688,37.618
path517,5.981,3.522,2.598,5.005,4.554,6.521,4.921,4.581,7.103,7.167,3.069,5.043,4.984,7.06,36.055
path518,5.831,5.112,3.594,3.24,3.847,6.889,4.155,5.708,6.964,6.683,6.512,3.3,7.958,6.751,38.273
path519,5.592,6.246,2.478,5.511,6.377,3.391,3.501,7.038,7.107,4.169,5.852,5.746,6.588,6.867,38.232
path520,2.629,5.82,3.013,4.235,6.491,2.626,3.416,2.898,6.7,3.536,4.607,3.633,7.516,3.603,30.361
path521,4.699,6.895,4.391,3.545,3.228,7.07,4.469,6.986,7.088,4.671,7.858,6.65,7.847,7.45,41.424
path522,5.137,2.628,4.874,5.947,5.258,6.967,2.4,6.976,3.839,4.789,4.017,4.842,6.605,5.501,34.89
path523,5.948,5.682,4.118,5.174,4.387,7.204,4.993,5.621,2.987,3.137,3.054,5.5,7.973,5.393,35.586
path524,5.121,3.957,4.951,2.646,4.762,6.859,6.621,2.507,7.07,4.626,3.207,4.195,3.927,3.011,31.73
path525,3.484,4.054,2.579,5.087,3.883,5.171,4.124,6.988,7.67,4.378,7.374,5.538,7.633,5.833,36.899
path526,4.401,3.975,5.498,5.964,4.17,4.523,5.081,4.793,5.806,5.836,7.33,7.228,3.49,6.012,37.054
path527,5.472,6.36,5.308,5.902,4.237,4.014,5.597,6.171,5.844,5.913,5.731,5.791,4.8,5.877,38.508
path528,4.22,4.425,3.614,4.419,4.402,6.911,5.158,3.415,3.133,7.125,5.92,4.889,7.531,6.869,36.016
path529,5.49,5.961,3.457,3.087,3.326,6.807,3.26,5.123,3.475,5.932,5.42,3.121,8.166,6.801,34.713
path530,3.243,5.014,2.725,4.866,3.382,5.08,4.059,5.526,3.071,4.506,3.48,6.012,7.912,5.432,32.154
path531,4.597,6.367,4.734,3.447,3.325,4.863,4.315,2.937,6.855,7.081,6.072,6.647,5.676,6.973,36.945
path532,2.665,6.084,5.492,5.892,3.244,2.741,6.227,3.183,4.63,3.562,4.977,6.237,6.119,3.525,32.289
path533,5.903,6.741,2.479,4.301,2.355,6.985,2.6,4.629,2.793,7.541,6.44,3.991,4.351,3.594,32.351
path534,2.379,3.405,6.578,3.301,2.711,2.821,4.259,3.65,5.277,3.156,5.38,7.233,6.824,7.723,32.349
path535,4.575,6.093,4.243,2.777,5.546,6.542,3.321,4.208,7.426,3.796,3.168,5.025,4.189,3.757,32.333
path536,2.71,5.754,2.983,4.887,5.036,5.072,3.646,6.817,4.239,7.636,3.159,5.93,4.862,6.248,34.49
path537,4.005,5.292,3.631,5.688,5.696,2.584,6.776,4.354,6.86,3.072,4.859,6.534,4.63,4.498,34.239
path538,2.729,6.086,2.734,3.666,3.437,2.448,4.008,6.767,6.051,5.185,5.827,3.798,4.272,7.074,32.041
path539,4.083,4.006,6.511,2.653,4.638,3.139,6.038,6.837,6.1,6.727,4.731,6.918,4.193,4.904,35.739
path540,5.089,2.675,4.478,3.876,6.352,6.905,4.583,2.711,6.505,3.932,5.87,6.773,7.322,3.091,35.081
path541,6.501,5.487,5.281,2.817,4.241,4.785,4.777,6.568,5.768,6.832,3.105,4.181,8.07,5.967,37.191
path542,2.368,5.758,6.07,6.181,3.515,4.39,2.337,6.663,5.086,2.767,3.673,4.881,4.346,7.442,32.739
path543,6.504,4.072,6.271,6.226,6.29,4.118,4.013,6.311,2.847,5.642,4.023,5.92,5.76,7.304,37.651
path544,2.724,5.046,5.449,3.28,3.274,6.205,4.362,3.777,3.354,5.574,6.258,6.716,4.656,5.349,33.012
path545,2.682,3.557,4.085,3.891,3.103,2.67,4.322,4.553,6.037,6.082,5.806,7.399,7.461,6.222,33.934
path546,6.099,6.888,3.096,4.343,3.163,6.024,6.166,4.918,4.406,3.315,4.36,5.857,6.165,5.013,34.906
path547,5.558,3.819,4.795,6.322,5.527,3.329,2.954,6.303,6.759,6.452,3.459,5.683,4.031,4.252,34.622
path548,2.309,3.488,5.3,2.596,5.795,5.884,3.268,2.618,7.671,7.265,7.913,3.497,7.682,3.492,34.389
path549,5.893,4.265,4.495,6.578,4.581,6.309,6.853,3.203,5.091,4.926,5.369,4.04,7.316,7.027,37.973
path550,5.756,4.975,2.396,5.329,5.952,4.03,4.605,4.999,5.269,7.16,7.637,3.778,7.289,7.827,38.501
path551,3.47,5.6,3.379,5.53,3.786,6.309,4.807,6.325,5.165,3.137,7.702,5.942,3.78,3.435,34.185
path552,5.673,4.881,2.501,6.746,5.883,5.377,5.318,3.01,6.864,4.754,6.48,3.856,7.574,3.478,36.197
path553,4.042,4.573,3.824,2.958,3.731,4.063,6.044,3.355,3.027,6.335,5.379,6.636,5.341,7.102,33.205
path554,3.193,4.995,5.735,6.13,4.781,2.822,6.597,3.475,6.924,6.264,4.011,4.945,3.326,5.428,34.313
path555,6.66,5.877,2.951,2.453,3.342,4.667,5.874,6.9,3.65,4.682,6.297,5.442,7.796,7.26,36.925
path556,6.213,3.757,5.274,3.274,3.549,6.722,3.577,5.033,6.126,4.502,3.815,7.17,7.033,6.058,36.051
path557,4.235,6.278,5.079,5.584,2.508,5.577,4.746,5.521,5.384,5.342,3.926,5.367,8.263,5.479,36.644
path558,4.75,6.638,6.138,5.846,5.579,2.563,3.561,3.162,6.842,3.818,3.937,4.757,6.098,5.314,34.502
path559,4.855,2.408,4.449,6.587,5.604,3.86,5.078,6.186,3.797,3.661,4.268,7.126,6.071,6.947,35.449
path560,5.421,2.58,3.522,4.335,4.229,3.358,5.805,6.251,4.377,5.338,4.978,4.89,6.329,6.159,33.786
path561,3.323,4.293,4.519,2.971,5.735,5.489,2.411,2.979,5.898,7.043,6.307,7.105,5.001,8.03,35.552
path562,5.335,4.489,3.327,3.079,6.281,6.532,3.045,6.803,7.338,2.856,4.355,4.175,7.256,3.294,34.082
path563,4.322,5.435,2.561,5.579,2.526,4.782,4.513,5.119,7.477,6.782,3.796,7.637,6.937,4.869,36.167
path564,6.285,2.398,4.026,3.498,4.75,5.864,6.201,5.006,5.207,5.486,3.997,4.073,7.951,3.973,34.357
path565,5.084,3.176,4.601,6.006,3.41,3.188,3.354,3.252,5.609,5.315,6.618,5.719,5.955,4.625,32.957
path566,2.431,2.838,4.538,5.498,4.274,4.522,6.26,5.437,7.358,6.582,5.891,4.091,6.849,3.236,34.902
path567,5.562,6.682,6.282,2.305,4.434,6.289,5.644,5.214,7.375,6.76,5.541,5.142,7.803,3.296,39.164
path568,5.587,5.079,5.719,5.492,5.909,3.598,6.624,2.783,3.828,4.442,6.531,4.025,5.297,3.049,33.982
path569,3.772,4.082,4.327,3.433,5.154,3.708,6.714,3.934,4.762,6.543,3.086,3.418,3.065,3.47,29.733
path570,4.837,6.134,2.601,4.135,2.829,2.335,3.282,5.885,7.468,3.466,6.766,4.971,3.293,4.483,31.243
path571,2.474,4.054,4.835,2.34,2.309,3.704,2.332,3.813,3.165,5.319,7.892,6.586,3.263,7.276,29.681
path572,3.279,2.532,2.843,2.422,5.4,7.335,3.613,4.265,2.876,4.329,6.013,3.346,6.415,5.381,30.025
path573,2.79,6.152,6.59,3.355,4.5,4.254,3.07,7.031,3.946,6.848,5.861,5.832,7.808,4.171,36.105
path574,3.9,2.405,4.169,4.141,6.404,3.186,2.443,4.54,7.143,3.805,6.039,5.658,3.761,4.26,30.927
path575,3.638,5.355,5.854,3.721,4.907,2.799,5.628,5.293,7.479,6.724,3.631,4.307,7.837,3.277,35.226
path576,5.796,5.562,3.491,2.319,3.256,5.61,6.042,4.829,4.714,4.805,5.505,7.744,5.056,3.116,33.923
path577,2.575,3.196,2.585,6.016,4.931,3.8,6.873,3.387,5.376,3.265,3.646,7.015,3.843,5.372,30.94
path578,5.938,5.1,3.79,2.662,3.027,5.029,4.933,2.636,6.199,5.439,5.152,3.98,6.73,5.495,33.055
path579,6.512,3.12,5.708,4.967,3.444,3.626,3.675,6.139,7.33,6.732,3.728,3.25,4.763,6.095,34.545
path580,2.603,4.344,4.805,3.006,2.978,4.479,2.35,6.587,7.487,6.708,7.131,6.807,6.738,3.562,34.792
path581,4.662,4.356,3.606,2.638,6.401,2.754,2.734,2.719,6.079,7.668,5.586,6.376,7.891,6.418,34.944
path582,4.467,6.716,2.484,6.121,5.244,2.812,2.388,3.322,6.696,7.634,4.475,5.861,6.194,5.012,34.712
path583,6.358,5.712,4.97,4.743,6.509,4.771,4.913,4.257,3.772,7.097,7.549,6.195,7.493,6.815,40.576
path584,6.262,5.643,5.465,5.447,3.007,4.461,3.168,4.682,6.54,3.307,6.11,6.486,5.95,8.078,37.303
path585,4.57,3.425,5.192,4.464,4.41,3.319,5.065,6.937,7.021,4.686,5.698,5.676,5.777,5.669,35.954
path586,2.485,2.658,3.26,5.298,5.738,7.227,5.689,4.229,3.796,3.711,5.384,3.979,6.694,7.624,33.887
path587,3.529,5.087,6.336,4.084,2.43,6.014,6.059,6.406,4.567,3.484,7.483,5.656,6.43,7.619,37.592
path588,3.171,4.064,4.654,2.497,3.797,3.313,3.252,2.643,2.973,7.169,4.02,5.059,4.969,3.357,27.468
path589,6.205,5.034,3.77,6.07,6.248,6.456,4.177,6.901,3.232,7.15,6.352,3.882,6.872,7.107,39.728
path590,3.867,5.628,4.537,4.116,6.543,2.708,2.552,6.039,4.531,5.583,6.319,6.483,5.795,5.671,35.186
path591,2.503,6.721,3.201,5.238,4.721,6.984,6.192,2.898,7.633,7.438,5.22,5.653,6.464,6.961,38.913
path592,3.607,5.36,2.654,5.447,3.621,3.895,6.677,5.508,5.097,5.045,4.479,3.007,6.956,3.193,32.273
path593,4.146,4.415,3.149,3.198,4.545,5.953,4.825,5.085,5.692,3.075,5.719,6.653,7.801,4.467,34.362
path594,6.025,5.635,4.016,5.566,6.516,2.956,5.146,2.666,3.827,4.31,3.858,4.097,7.989,4.585,33.595
path595,2.515,5.493,4.762,3.963,4.103,2.583,2.442,5.783,2.712,3.6,3.7,3.135,5.005,7.478,28.637
path596,2.839,4.805,3.683,6.132,5.571,2.747,4.08,2.318,6.997,7.26,6.218,7.463,7.736,3.667,35.758
path597,5.314,3.323,6.496,2.347,3.586,5.794,6.099,5.022,5.651,2.79,3.271,7.166,6.796,7.767,35.712
path598,2.732,6.764,6.159,4.075,2.806,2.906,4.613,2.436,3.158,3.848,4.055,6.99,5.49,3.123,29.577
path599,6.562,5.837,6.343,4.495,6.645,5.83,2.993,4.535,5.768,3.614,4.893,7.193,4.894,7.992,38.798
path600,6.624,5.236,4.384,4.643,5.327,6.501,4.171,6.099,3.965,3.491,7,5.125,3.415,7.234,36.607
path601,5.799,3.1,3.757,5.929,4.703,3.221,4.526,2.882,7.113,5.035,7.182,6.051,7.041,4.212,35.276
path602,3.915,4.159,4.408,4.202,3.586,2.892,3.551,5.224,6.436,2.715,5.942,4.889,6.225,5.618,31.881
path603,2.984,6.711,5.36,4.343,5.356,6.166,4.752,5.508,4.522,6.002,6.964,3.627,4.957,5.004,36.127
path604,3.147,5.013,2.785,5.123,5.977,3.247,5.818,4.674,7.171,7.448,7.381,5.801,4.033,7.107,37.362
path605,4.067,5.832,2.764,3.402,6.73,4.244,5.309,6.786,4.54,5.962,7.201,6.786,3.661,7.389,37.336
path606,3.364,4.952,2.448,2.635,4.333,5.587,6.58,3.307,5.606,7.343,5.006,5.382,5.11,3.851,32.752
path607,2.481,2.345,3.815,6.729,5.939,6.535,3.396,7.055,4.558,3.953,7.475,5.082,6.288,3.824,34.737
path608,3.202,5.569,6.137,2.323,2.511,2.945,3.143,5.219,7.446,4.723,3.547,7.212,6.294,4.802,32.536
path609,3.618,6.009,4.039,4.284,5.059,2.328,3.47,3.121,3.328,5.839,7.778,3.293,3.754,6.818,31.369
path610,2.533,3.708,5.961,5.622,3.246,5.675,3.577,3.88,5.641,5.591,5.698,7.55,8.056,4.596,35.667
path611,3.263,2.709,4.521,3.068,3.281,3.63,4.903,4.604,7.127,4.345,4.22,7.383,4.728,7.053,32.418
path612,6.541,6.151,6.361,3.372,5.512,2.988,5.749,3.639,3.765,4.549,5.658,3.807,8.171,4.555,35.409
path613,3.368,4.899,3.411,6.227,5.882,3.452,5.88,5.379,3.465,5.808,5.631,6.962,4.931,4.32,34.807
path614,4.917,2.319,5.777,3.95,4.108,4.204,5.113,6.337,5.85,3.757,5.975,5.768,6.271,4.7,34.523
path615,5.193,6.689,3.309,5.745,3.069,5.522,6.291,4.639,6.989,3.77,3.335,5.228,7.381,3.609,35.385
path616,2.484,6.641,5.202,3.282,2.872,3.116,5.568,6.902,5.684,5.397,7.13,7.63,5.67,3.678,35.629
path617,5.281,3.045,6.169,2.636,3.702,5.954,3.261,3.474,5.818,5.421,3.925,6.307,6.513,3.908,32.708
path618,4.021,3.117,3.903,5.78,6.622,6.12,4.15,6.902,6.479,7.522,4.446,5.323,3.562,6.298,37.123
path619,5.65,2.868,6.502,5.721,4.286,6.615,4.016,6.976,5.259,4.526,6.247,4.008,3.936,4.932,35.771
path620,3.434,2.645,3.562,4.032,4.057,3.121,6.488,5.411,4.176,2.706,7.685,6.461,8.01,7.031,34.409
path621,5.055,4.253,4.167,6.69,5.767,5.159,6.279,5.212,6.667,4.695,3.211,5.13,3.444,7.932,36.831
path622,6.256,6.855,5.415,5.228,4.056,3.475,6.752,2.376,5.302,2.963,6.293,5.987,8.217,3.298,36.236
path623,5.678,6.476,3.132,2.669,6.251,3.931,4.279,5.483,3.402,3.215,5.556,7.748,7.386,3.485,34.345
path624,2.487,5.014,2.428,4.654,5.002,4.482,6.782,2.89,6.126,6.568,5.865,4.271,3.999,7.994,34.281
path625,3.284,4.091,6.328,5.788,4.306,4.593,3.394,5.695,4.072,6.645,7.495,4.721,3.065,7.677,35.577
path626,2.527,6.597,3.147,6.039,3.302,3.836,5.426,2.591,3.761,7.651,3.196,4.464,3.26,6.126,30.961
path627,4.742,4.177,4.666,5.206,3.803,5.569,5.674,6.633,5.751,6.453,5.984,5.445,4.03,7.309,37.72
path628,4.585,3.006,6.338,2.584,5.067,5.915,3.427,5.846,6.079,4.783,7.82,4.227,6.114,7.615,36.703
path629,3.86,4.546,6.046,2.92,3.833,2.357,6.543,4.972,4.238,4.02,5.274,5.114,6.797,7.87,34.195
path630,4.868,5.119,5.984,6.086,3.639,4.704,3.824,6.885,3.518,6.144,6.842,4.532,5.309,4.979,36.217
path631,6.377,2.455,3.837,4.952,3.757,4.444,3.302,6.008,2.771,7.638,3.864,5.105,4.552,5.014,32.039
path632,3.305,4.038,5.231,3.882,6.04,2.591,5.946,3.281,6.52,5.612,3.263,3.593,8.031,6.016,33.674
path633,4.372,4.802,4.369,4.617,4.742,2.566,6.291,6.685,5.604,7.578,4.172,5.458,8.084,3.28,36.31
path634,6.314,6.035,3.443,6.056,2.81,6.08,4.097,6.887,3.528,5.299,7.085,5.15,4.993,3.308,35.542
path635,5.326,4.578,2.448,2.323,3.859,7.137,2.781,4.141,6.127,4.042,6.701,5.479,6.686,4.739,33.184
path636,6.227,6.459,2.468,2.418,3.237,4.918,6.152,5.142,6.238,6.67,7.325,6.09,4.096,4.724,36.083
path637,4.577,5.493,4.843,4.228,4.217,6.404,3.472,4.328,6.612,5.527,3.883,7.169,4.255,6.999,36.004
path638,5.106,3.374,2.873,5.537,3.583,3.627,5.967,4.636,3.692,6.21,7.117,4.596,6.063,5.317,33.848
path639,5.273,5.98,4.058,3.25,6.735,3.694,2.546,6.464,3.207,3.857,7.35,4.019,3.297,3.25,31.489
path640,3.212,5.797,3.203,5.776,2.485,6.807,3.152,6.151,6.488,6.186,6.175,5.803,4.656,6.498,36.194
path641,5.613,6.836,3.553,3.32,3.309,2.596,3.42,6.412,4.658,5.46,6.402,3.195,7.044,7.493,34.655
path642,3.215,5.803,2.776,4.738,3.406,4.978,2.975,4.785,3.209,4.572,6.508,5.057,7.406,4.704,32.065
path643,3.946,4.404,3.572,4.924,4.958,3.569,5.978,6.945,6.638,3.252,6.584,6.581,5.801,7.658,37.405
path644,3.348,6.225,2.939,4.96,5.462,6.144,4.813,4.559,5.329,6.455,4.056,6.182,6.249,7.951,37.336
path645,5.405,5.539,3.566,5.472,2.464,3.218,5.081,4.78,4.783,6.249,5.012,6.913,5.886,4.306,34.337
path646,2.69,5.873,3.663,5.771,4.84,6.312,6.306,2.994,3.455,7.557,4.489,6.952,4.257,3.132,34.146
path647,2.913,2.6,2.519,6.148,5.199,3.847,6.503,3.431,6.175,3.297,7.602,4.061,5.373,3.721,31.694
path648,5.537,2.322,4.726,6.035,3.012,6.807,5.006,2.307,3.783,4.393,4.758,6.279,3.417,3.305,30.842
path649,3.887,6.33,4.994,2.817,6.231,5.672,5.383,3.29,7.673,7.012,4.383,4.769,6.281,4.191,36.457
path650,6.28,3.328,4.148,5.12,6.712,6.629,2.461,5.919,4.122,6.253,6.637,3.203,5.198,7.228,36.619
path651,5.222,3.065,2.736,4.032,5.515,6.599,6.318,6.327,3.808,7.246,3.149,6.957,3.674,4.698,34.673
path652,5.669,5.078,4.587,6.74,2.831,5.318,3.142,5.295,4.259,2.934,5.352,7.504,7.208,5.707,35.812
path653,5.255,3.164,5.17,3.084,5.49,2.446,5.853,2.673,5.013,6.236,3.817,6.385,3.482,5.123,31.596
path654,2.304,6.268,2.442,2.986,3.876,3.528,3.938,6.965,7.486,7.349,5.971,4.702,7.397,3.854,34.533
path655,3.747,3.384,6.544,4.969,6.689,5.28,6.47,6.993,4.078,5.219,3.902,3.906,7.837,4.599,36.809
path656,4.128,3.217,4.993,4.539,3.833,4.786,3.036,3.693,7.397,6.245,3.785,6.058,5.802,6.68,34.095
path657,6.607,4.876,4.107,6.739,3.206,6.577,5.584,4.777,7.312,3.327,7.174,7.14,4.697,6.061,39.093
path658,3.905,5.694,6.383,6.529,6.782,4.963,5.686,2.684,6.62,5.872,3.545,5.99,6.521,6.512,38.843
path659,2.811,2.672,4.443,6.66,3.433,5.848,6.468,2.577,4.568,7.116,3.757,3.639,7.735,3.158,32.443
path660,6.351,3.597,4.09,4.369,2.755,5.94,4.048,5.729,6.461,5.399,5.877,6.181,5.783,4.653,35.617
path661,2.387,4.51,6.174,2.912,5.729,5.41,5.68,5.718,7.602,6.669,4.788,3.081,4.339,5.988,35.493
path662,4.955,5.104,3.04,2.86,6.059,6.911,4.5,6.51,3.36,5.807,3.187,3.268,3.967,6.728,33.127
